terror,longitude,latitude
terror,62.156307,33.305667
terror,63.863831,33.69186
terror,70.323889,34.301389
terror,11.179766,10.294589
terror,69.365561,35.746875
terror,47.430654,6.769322
terror,66.056473,36.11347
terror,37.741825,48.068908
terror,6.683263,12.164619
terror,30.723489,46.482094
terror,39.466667,48.666667
terror,5.218357,7.617529
terror,44.278691,33.370243
terror,44.152668,33.949776
terror,90.356047,23.806362
terror,90.386137,23.75151
terror,90.410738,23.734141
terror,90.396216,23.731219
terror,90.368407,23.80732
terror,29.918559,31.199595
terror,38.350817,36.88774
terror,90.397552,23.724916
terror,90.394261,23.739726
terror,91.85903,22.398561
terror,91.438875,24.415958
terror,70.905344,31.829839
terror,73.044493,33.598133
terror,71.673784,29.399281
terror,71.511591,34.740321
terror,65.931873,36.21759
terror,34.240191,31.280267
terror,24.631389,4.749167
terror,24.631389,4.749167
terror,64.833889,32.07265
terror,64.833889,32.07265
terror,64.833889,32.07265
terror,120.75453,-1.395818
terror,44.460666,33.389909
terror,44.157787,33.462707
terror,44.347213,32.88925
terror,44.293074,33.225134
terror,43.766667,35.316625
terror,43.912706,35.269902
terror,43.59431,35.277728
terror,43.462027,35.272238
terror,44.087712,35.135849
terror,44.507795,33.25153
terror,13.175477,32.898594
terror,63.367503,34.338022
terror,68.714007,34.007712
terror,71.010278,29.095833
terror,44.213536,15.355873
terror,65.561944,31.503056
terror,20.066488,32.116136
terror,1.410668,18.443116
terror,43.650067,3.116611
terror,61.493056,34.344722
terror,31.208855,30.011739
terror,32.549628,29.966757
terror,70.368889,33.423333
terror,9.772456,7.657065
terror,37.865517,47.459564
terror,38.380358,48.633155
terror,90.403656,23.733729
terror,88.59991,24.366769
terror,89.362092,24.886896
terror,37.105288,35.735539
terror,-6.264126,53.393876
terror,93.77,24.5
terror,-7.32048,54.9932
terror,33.811607,27.257896
terror,90.361499,23.806425
terror,121.906967,6.601844
terror,96.316645,25.616667
terror,96.316645,25.616667
terror,96.316645,25.616667
terror,43.999995,33.193449
terror,44.354167,33.061667
terror,20.131703,32.093242
terror,20.176667,32.098333
terror,20.130239,32.129069
terror,44.253015,33.079162
terror,44.351177,33.251134
terror,44.507795,33.25153
terror,44.266976,33.589786
terror,68.356207,28.372469
terror,64.57,31.820833
terror,69.916917,33.333109
terror,65.70216,31.612835
terror,44.730788,13.696689
terror,44.213536,15.355873
terror,44.139062,13.757061
terror,11.096525,11.709427
terror,45.210303,2.082146
terror,67.033333,24.933333
terror,69.166622,34.533278
terror,121.091117,6.02326
terror,33.932222,31.109444
terror,18.583287,4.366623
terror,67.122879,24.932138
terror,67.070913,24.942133
terror,62.246389,34.301389
terror,68.237154,32.687975
terror,75.059298,33.733444
terror,9.398889,10.221944
terror,13.653611,10.794167
terror,14.470973,12.634726
terror,12.55149,9.361746
terror,8.558519,9.711994
terror,90.396322,23.717036
terror,37.743035,48.068967
terror,28.947042,41.016864
terror,29.151767,40.924983
terror,28.859995,41.107402
terror,126.058523,6.941653
terror,70.621679,34.171831
terror,94.362893,25.093939
terror,68.99719,28.2787
terror,91.981752,22.294093
terror,84.056387,24.025907
terror,96.316645,25.616667
terror,44.354167,33.061667
terror,44.460622,33.38991
terror,44.35676,32.98499
terror,67.643889,29.195278
terror,45.116761,2.14269
terror,18.086344,30.800891
terror,44.213536,15.355873
terror,44.213536,15.355873
terror,44.401667,14.55
terror,44.213536,15.355873
terror,1.409545,18.442468
terror,70.100833,34.842222
terror,67.015595,24.934911
terror,13.175477,32.898594
terror,124.668732,7.074574
terror,124.827031,7.10728
terror,101.652946,6.517235
terror,18.583828,4.366584
terror,20.033055,32.022215
terror,44.213536,15.355873
terror,74.621389,34.102222
terror,74.474544,34.360187
terror,43.299955,33.416686
terror,43.300716,33.416293
terror,36.420452,34.181381
terror,38.4,48.333339
terror,36.337017,50.004982
terror,96.372467,25.63246
terror,96.316667,25.616546
terror,71.059821,33.530187
terror,35.384777,33.5577
terror,37.808019,48.003267
terror,37.671222,48.067248
terror,37.671222,48.067248
terror,37.671222,48.067248
terror,37.671222,48.067248
terror,37.671222,48.067248
terror,37.671222,48.067248
terror,90.394261,23.739726
terror,91.833053,22.351774
terror,90.394261,23.739726
terror,89.705561,24.448424
terror,71.338333,34.744167
terror,69.916917,33.333109
terror,90.250545,23.849885
terror,89.250804,25.754216
terror,34.120281,31.212474
terror,89.343056,24.838333
