citizenTerror,longitude,latitude
citizenTerror,44.396927,33.425404
citizenTerror,-8.497344,51.909217
citizenTerror,39.230715,48.738393
citizenTerror,38.571836,48.783924
citizenTerror,38.63234,48.725525
citizenTerror,39.46584,48.663742
citizenTerror,38.51299,48.324095
citizenTerror,38.40266,48.338463
citizenTerror,66.992844,24.950082
citizenTerror,-77.164991,6.067805
citizenTerror,44.278691,33.370243
citizenTerror,14.433212,27.043425
citizenTerror,44.373304,33.115553
citizenTerror,44.253056,33.079167
citizenTerror,42.252271,34.180167
citizenTerror,12.195089,10.611012
citizenTerror,13.242173,11.930234
citizenTerror,13.250507,12.040133
citizenTerror,90.393284,23.732541
citizenTerror,90.435799,23.710407
citizenTerror,88.945082,23.389612
citizenTerror,24.90422,15.766197
citizenTerror,23.716667,15.05
citizenTerror,44.372122,33.259511
citizenTerror,43.13009,36.339712
citizenTerror,43.129911,36.339712
citizenTerror,86.566056,20.585562
citizenTerror,76.647229,11.101431
citizenTerror,42.236244,3.503923
citizenTerror,94.849721,27.108841
citizenTerror,-8.504788,51.907851
citizenTerror,-5.812486,54.71322
citizenTerror,38.40266,48.338463
citizenTerror,44.460652,33.389934
citizenTerror,44.182901,13.972208
citizenTerror,44.213536,15.355873
citizenTerror,44.213536,15.355873
citizenTerror,12.568337,55.676109
citizenTerror,85.587105,23.160131
citizenTerror,15.090355,32.374581
citizenTerror,11.499444,10.289444
citizenTerror,11.354722,10.316389
citizenTerror,90.525,23.549722
citizenTerror,38.220886,48.435783
citizenTerror,44.227504,15.36911
citizenTerror,101.699385,3.151253
citizenTerror,94.105331,25.658596
citizenTerror,68.745306,36.178903
citizenTerror,44.35676,33.211078
citizenTerror,44.583199,33.100037
citizenTerror,44.383333,33.366667
citizenTerror,44.383333,33.366667
citizenTerror,69.4975,35.065833
citizenTerror,44.413457,33.54631
citizenTerror,98.133856,22.036199
citizenTerror,120.996101,6.052028
citizenTerror,12.906913,10.648618
citizenTerror,36.242744,33.506472
citizenTerror,8.8925,9.537222
citizenTerror,38.378007,48.634595
citizenTerror,44.672447,33.127578
citizenTerror,22.599217,31.918831
citizenTerror,63.782778,34.143333
citizenTerror,29.5,4.166667
citizenTerror,65.054246,31.623036
citizenTerror,44.391944,33.251389
citizenTerror,44.157787,33.462707
citizenTerror,44.668683,33.787583
citizenTerror,67.042005,24.921996
citizenTerror,90.418075,23.787313
citizenTerror,37.143775,36.215857
citizenTerror,12.906913,10.648618
citizenTerror,74.24433,16.691479
citizenTerror,31.65,9.55
citizenTerror,31.560787,6.212526
citizenTerror,31.437047,6.721124
citizenTerror,38.499451,48.739073
citizenTerror,38.40266,48.338463
citizenTerror,38.378007,48.634595
citizenTerror,0.855976,19.464991
citizenTerror,45.203611,4.735822
citizenTerror,65.23228,35.840067
citizenTerror,-5.991717,54.589741
citizenTerror,7.083,4.74
citizenTerror,13.979722,10.917222
citizenTerror,90.391405,23.733357
citizenTerror,90.392542,23.731541
citizenTerror,29.232079,28.766622
citizenTerror,34.240191,31.280267
citizenTerror,30.740106,46.472862
citizenTerror,72.520483,35.492033
citizenTerror,43.393035,35.880317
citizenTerror,37.126002,36.218437
citizenTerror,37.153763,36.210793
citizenTerror,37.09905,36.177489
citizenTerror,37.11487,36.225588
citizenTerror,37.129698,36.224146
citizenTerror,43.4275,35.869444
citizenTerror,69.154811,34.843238
citizenTerror,93.942599,24.797202
citizenTerror,30.91398,29.937507
citizenTerror,44.434701,33.426411
citizenTerror,67.033333,24.933333
citizenTerror,13.158175,11.854474
citizenTerror,101.952028,6.015439
citizenTerror,44.633512,33.749703
citizenTerror,44.363851,33.368141
citizenTerror,44.276323,33.341954
citizenTerror,66.405537,31.002009
citizenTerror,-7.28784,55.001658
citizenTerror,12.574443,13.275158
citizenTerror,12.971056,10.690026
citizenTerror,12.847621,10.869205
citizenTerror,13.004862,10.431155
citizenTerror,12.331667,10.016389
citizenTerror,12.331667,10.016389
citizenTerror,13.158175,11.854474
citizenTerror,90.412518,23.810332
citizenTerror,81.381168,17.810296
citizenTerror,44.4,33.3
citizenTerror,124.824638,7.65129
citizenTerror,13.259267,14.1319
citizenTerror,90.391405,23.733357
citizenTerror,38.378007,48.634595
citizenTerror,71.287421,34.021103
citizenTerror,107.025364,-6.296612
citizenTerror,67.278566,24.828065
citizenTerror,37.167411,36.21962
citizenTerror,37.13926,36.193482
citizenTerror,27.002902,11.339859
citizenTerror,63.060377,26.004247
citizenTerror,66.589627,29.025798
citizenTerror,44.253056,33.079167
citizenTerror,35.225188,31.779024
citizenTerror,69.162949,29.030739
citizenTerror,90.419565,23.712084
citizenTerror,90.3925,23.753889
citizenTerror,90.411635,23.718483
citizenTerror,11.082491,11.707236
citizenTerror,36.317908,49.960304
citizenTerror,90.411929,23.759018
citizenTerror,44.5078,33.251506
citizenTerror,43.611479,34.790118
citizenTerror,44.354525,33.061667
citizenTerror,13.175477,32.898594
citizenTerror,34.119579,31.208759
citizenTerror,44.507722,33.251575
citizenTerror,42.283288,2.333355
citizenTerror,67.423257,32.499875
citizenTerror,40.356066,36.639322
citizenTerror,61.747341,25.047679
citizenTerror,13.196176,32.872208
citizenTerror,44.35676,32.98499
citizenTerror,44.235291,33.63497
citizenTerror,90.406258,23.724174
citizenTerror,90.417152,23.732423
citizenTerror,12.3125,11.484444
citizenTerror,44.507722,33.251575
citizenTerror,41.855125,3.935567
citizenTerror,44.773299,33.927271
citizenTerror,44.506622,33.314009
citizenTerror,44.702826,33.376952
citizenTerror,44.065511,33.291944
citizenTerror,44.328029,33.277842
citizenTerror,44.201389,33.508611
citizenTerror,43.865567,33.165225
citizenTerror,44.344895,33.268315
citizenTerror,-6.608058,54.077725
citizenTerror,91.849517,22.3739
citizenTerror,14.467963,12.081777
citizenTerror,14.307922,12.048407
citizenTerror,14.248333,11.905833
citizenTerror,14.467963,12.081777
citizenTerror,90.394037,23.732923
citizenTerror,75.468764,11.890899
citizenTerror,35.1203,31.685599
citizenTerror,35.120309,31.685832
citizenTerror,75.629537,11.846297
citizenTerror,89.705561,24.448424
citizenTerror,20.085585,32.099998
citizenTerror,8.883333,9.933333
citizenTerror,44.213536,15.355873
citizenTerror,44.35676,33.247211
citizenTerror,44.157787,33.462707
citizenTerror,44.396927,33.425404
citizenTerror,12.630233,11.829884
citizenTerror,34.110425,31.211645
citizenTerror,37.746298,48.145249
citizenTerror,44.391944,33.251389
citizenTerror,34.240191,31.280267
citizenTerror,37.62493,55.749485
citizenTerror,71.437657,33.974904
citizenTerror,42.976667,2.410556
citizenTerror,64.114227,31.517771
citizenTerror,44.344895,33.268315
citizenTerror,44.320329,33.262618
citizenTerror,45.083422,33.699554
citizenTerror,42.549952,33.849863
citizenTerror,93.508211,24.996283
citizenTerror,90.509489,23.67645
citizenTerror,66.992844,24.950082
citizenTerror,44.385499,33.215389
citizenTerror,44.157787,33.462707
citizenTerror,20.085801,32.124609
citizenTerror,20.12066,32.07612
citizenTerror,43.321753,33.420768
citizenTerror,36.652329,36.239015
citizenTerror,20.171389,32.201944
citizenTerror,13.11077,14.252776
