policeTerror,longitude,latitude
policeTerror,69.76059,34.594612
policeTerror,33.803883,31.132043
policeTerror,67.023747,24.930257
policeTerror,66.192943,32.922781
policeTerror,85.494589,25.316256
policeTerror,64.429814,35.571247
policeTerror,64.054454,35.682993
policeTerror,64.234564,35.61892
policeTerror,69.847281,32.343201
policeTerror,43.283574,33.450191
policeTerror,80.779631,21.119301
policeTerror,44.538422,34.276147
policeTerror,81.659273,18.391134
policeTerror,68.84699,34.964151
policeTerror,69.099227,34.214554
policeTerror,44.4,33.3
policeTerror,97.904676,23.979447
policeTerror,33.802708,31.131088
policeTerror,65.693183,31.620014
policeTerror,20.690256,42.91648
policeTerror,81.991659,19.209141
policeTerror,66.324049,31.805388
policeTerror,63.290842,35.04013
policeTerror,67.846322,26.466384
policeTerror,85.823025,23.808091
policeTerror,69.423111,37.065752
policeTerror,33.803014,31.131046
policeTerror,72.099403,34.260796
policeTerror,43.3725,33.453056
policeTerror,61.974422,33.678387
policeTerror,80.81664,18.791402
policeTerror,43.328276,33.440376
policeTerror,80.699672,18.852067
policeTerror,80.715734,18.872964
policeTerror,45.011933,33.994724
policeTerror,101.309038,6.819884
policeTerror,70.777201,34.266816
policeTerror,67.111901,24.814696
policeTerror,45.69972,18.520277
policeTerror,43.493056,34.929167
policeTerror,43.3,33.416667
policeTerror,43.3,33.416667
policeTerror,43.341365,33.455649
policeTerror,43.341365,33.455649
policeTerror,43.341365,33.455649
policeTerror,43.341365,33.455649
policeTerror,43.341365,33.455649
policeTerror,49.1825,11.284722
policeTerror,44.4,33.3
policeTerror,71.453062,34.760409
policeTerror,123.969698,6.923231
policeTerror,124.445006,6.860234
policeTerror,64.361661,31.584121
policeTerror,45.69972,18.520277
policeTerror,31.536797,31.441411
policeTerror,124.448978,6.865836
policeTerror,125.09852,6.950745
policeTerror,44.373779,33.664354
policeTerror,101.424582,6.47675
policeTerror,68.866277,36.72835
policeTerror,65.005053,32.134858
policeTerror,65.005053,32.134858
policeTerror,31.331232,30.128961
policeTerror,21.517902,42.213658
policeTerror,-5.931576,54.610577
policeTerror,90.633597,25.194184
policeTerror,44.4,33.3
policeTerror,44.411087,33.343058
policeTerror,70.598431,34.424656
policeTerror,63.136191,35.812
policeTerror,9.284013,7.16979
policeTerror,65.005053,32.134858
policeTerror,43.783333,33.35
policeTerror,45.383333,34.333333
policeTerror,65.039766,32.143673
policeTerror,71.601512,34.011066
policeTerror,64.632048,31.81376
policeTerror,69.206725,36.197974
policeTerror,69.178762,36.286868
policeTerror,62.119746,32.383535
policeTerror,68.913277,33.692575
policeTerror,68.814039,34.433267
policeTerror,71.123185,34.755467
policeTerror,71.153307,34.877496
