businessTerror,longitude,latitude
businessTerror,44.330752,33.333366
businessTerror,124.631588,7.188878
businessTerror,31.503016,30.587291
businessTerror,74.461538,34.285891
businessTerror,74.461538,34.285891
businessTerror,74.461538,34.285891
businessTerror,20.08418,32.104737
businessTerror,44.447678,33.327055
businessTerror,17.833647,30.779884
businessTerror,119.747485,5.010223
businessTerror,120.974849,16.703499
businessTerror,44.391023,33.354802
businessTerror,44.384657,33.324836
businessTerror,-2.12882,52.586973
businessTerror,65.701513,31.618212
businessTerror,44.42526,33.295433
businessTerror,44.463011,33.328038
businessTerror,44.228944,17.565604
businessTerror,-2.359904,51.375801
businessTerror,81.576094,19.143321
businessTerror,81.338256,18.626553
businessTerror,81.246376,19.175051
businessTerror,126.083977,8.488204
businessTerror,81.866144,21.278657
businessTerror,67.020396,24.923067
businessTerror,20.069599,32.111252
businessTerror,81.657827,18.39186
businessTerror,13.190314,32.880206
businessTerror,70.383333,32.216667
businessTerror,20.069599,32.111252
businessTerror,25.35,13.630556
businessTerror,69.149179,34.542154
businessTerror,65.383179,27.932858
businessTerror,43.918597,33.404852
businessTerror,84.504429,23.744186
businessTerror,67.709444,30.189722
businessTerror,67.709444,30.189722
businessTerror,118.104293,5.860273
businessTerror,101.280407,6.541102
businessTerror,101.305712,6.548106
businessTerror,101.305712,6.548106
businessTerror,101.280396,6.541138
businessTerror,101.280396,6.541138
businessTerror,101.280407,6.541102
businessTerror,101.280396,6.541138
businessTerror,13.339933,32.881831
businessTerror,64.1,26.966667
businessTerror,147.323719,-42.884049
businessTerror,38.790235,34.707778
businessTerror,38.605832,34.667608
businessTerror,-76.52047,3.82172
businessTerror,44.340211,33.243337
businessTerror,65.665857,36.896969
businessTerror,44.413457,33.54631
businessTerror,83.840976,23.667519
businessTerror,66.998734,30.182971
businessTerror,37.704505,48.167462
businessTerror,44.213536,15.355873
businessTerror,69.183333,28.633333
businessTerror,-73.567256,45.501689
businessTerror,44.401651,33.346641
businessTerror,43.809004,34.925074
businessTerror,37.704505,48.167462
businessTerror,67.01401,30.19702
businessTerror,74.464471,34.285819
businessTerror,122.705349,14.276771
businessTerror,125.942188,9.282823
businessTerror,44.010392,13.574698
businessTerror,69.174092,34.53059
businessTerror,37.704505,48.167462
businessTerror,68.709536,35.943802
businessTerror,90.203214,25.514071
businessTerror,45.033333,12.8
businessTerror,87.445176,24.342699
businessTerror,30.522935,50.450442
businessTerror,-71.429476,7.029334
businessTerror,89.956871,25.502474
businessTerror,74.331678,31.503673
businessTerror,44.385117,33.279633
businessTerror,44.420803,33.314697
businessTerror,64.808176,27.719708
businessTerror,0,0
businessTerror,85.621051,23.988258
businessTerror,93.172876,25.751627
businessTerror,44.505912,33.255442
businessTerror,17.457809,28.972546
businessTerror,93.943216,24.830175
businessTerror,44.010392,13.574698
businessTerror,44.583139,33.100298
businessTerror,44.596229,33.190592
businessTerror,13.150967,11.831098
businessTerror,70.384455,32.218414
businessTerror,-75.87266,1.41608
businessTerror,38.363503,48.829771
businessTerror,38.277259,37.76365
businessTerror,69.006365,34.020636
businessTerror,85.36472,26.120888
businessTerror,40.210907,37.925
businessTerror,44.4,33.3
businessTerror,13.637396,32.433163
businessTerror,-79.64412,43.589045
businessTerror,45.07347,33.770407
businessTerror,0,0
businessTerror,-76.500191,0.504929
businessTerror,44.436343,33.344096
businessTerror,13.37741,32.834578
businessTerror,90.740006,25.869934
businessTerror,120.522704,18.071731
businessTerror,44.411642,33.335022
businessTerror,82.581805,18.763323
businessTerror,122.537274,11.004984
businessTerror,74.389536,34.365395
businessTerror,90.409414,25.509695
businessTerror,83.66011,22.170443
businessTerror,67.008,30.198395
businessTerror,66.983278,30.162558
businessTerror,39.644427,-0.453025
businessTerror,22.639523,32.766019
businessTerror,11.228333,11.781389
businessTerror,82.796725,20.654336
businessTerror,64.782591,32.353991
businessTerror,123.51688,13.7335
businessTerror,90.731898,25.942004
businessTerror,30.013268,-2.727638
businessTerror,30.116865,-2.581607
businessTerror,30.346433,-2.832659
businessTerror,30.652446,50.431233
businessTerror,30.497934,50.506672
businessTerror,122.1412,6.660018
businessTerror,82.471405,18.169601
businessTerror,65.486964,36.311449
businessTerror,65.679163,36.887825
businessTerror,22.385381,32.752334
businessTerror,30.380187,10.636974
businessTerror,30.380187,10.636974
businessTerror,-77.078864,3.890551
businessTerror,10.59688,35.893074
businessTerror,5.124706,45.641734
businessTerror,45.034551,12.802001
businessTerror,44.887331,12.751916
businessTerror,13.150967,11.831098
businessTerror,93.733909,25.906034
businessTerror,44.373304,35.488724
businessTerror,44.897493,12.765862
businessTerror,-76.221947,4.76142
businessTerror,63.051337,26.006761
businessTerror,13.150967,11.831098
businessTerror,44.385499,33.215389
businessTerror,30.73396,46.480451
businessTerror,-74.063097,4.649656
businessTerror,-74.114656,4.614995
businessTerror,44.583139,33.100298
businessTerror,44.34494,33.268315
businessTerror,64.098934,26.962214
businessTerror,45.067169,33.695694
businessTerror,126.15454,7.352189
businessTerror,36.285592,33.517864
businessTerror,-72.737733,8.642356
businessTerror,8.883333,9.933333
businessTerror,44.536067,33.3739
businessTerror,44.505436,33.254994
businessTerror,125.082855,6.634899
businessTerror,44.541171,33.570041
businessTerror,30.84285,29.308402
businessTerror,66.42715,28.918443
businessTerror,14.442733,35.872839
businessTerror,44.401651,33.346641
businessTerror,41.855147,3.935863
businessTerror,46.776423,43.599162
businessTerror,44.21571,33.504076
businessTerror,44.586277,33.102506
businessTerror,106.652695,-6.202456
businessTerror,101.966086,6.021541
businessTerror,101.966086,6.021541
businessTerror,101.959485,6.021377
businessTerror,101.959671,6.020627
businessTerror,22.641879,32.766244
businessTerror,44.507801,33.251506
businessTerror,45.339971,2.037408
businessTerror,45.339971,2.037408
businessTerror,37.815963,34.677193
businessTerror,101.953637,6.022161
businessTerror,101.966117,6.023137
businessTerror,124.099567,13.595447
businessTerror,28.85968,8.220931
businessTerror,44.514869,33.349705
businessTerror,44.34494,33.268315
businessTerror,44.338598,33.309123
businessTerror,37.703034,48.166605
businessTerror,69.159075,34.540562
businessTerror,66.906944,32.106111
businessTerror,44.92626,12.839778
businessTerror,-7.327465,54.994957
businessTerror,44.276323,33.341954
businessTerror,69.166667,34.533333
businessTerror,5.167309,43.475773
businessTerror,5.167309,43.475773
businessTerror,62.933184,25.936813
businessTerror,44.50499,33.312867
businessTerror,44.412994,33.546111
businessTerror,64.783611,35.921389
businessTerror,44.92626,12.839778
businessTerror,44.31026,33.314846
businessTerror,-73.916667,7.016667
businessTerror,31.147341,29.978018
businessTerror,138.479002,-3.684015
businessTerror,121.008173,6.060575
businessTerror,12.242451,32.852269
businessTerror,86.851277,24.770358
businessTerror,44.50651,33.313626
businessTerror,44.403089,33.226776
businessTerror,30.738764,46.473007
businessTerror,44.367958,33.309691
businessTerror,44.397689,33.293729
businessTerror,44.276288,33.341992
businessTerror,78.119475,9.925591
businessTerror,31.314608,30.065813
businessTerror,122.079027,6.921442
businessTerror,44.517148,33.279209
businessTerror,-92.045686,30.201966
businessTerror,74.798628,34.088158
businessTerror,74.798102,34.079936
businessTerror,44.365084,33.312438
businessTerror,93.9459,25.100146
businessTerror,42.471271,37.247632
businessTerror,14.321009,10.592529
businessTerror,16.589187,31.201702
businessTerror,44.391978,33.251102
businessTerror,44.372561,33.229853
businessTerror,126.029766,7.39035
businessTerror,44.482778,33.250556
businessTerror,75.463456,32.126683
businessTerror,75.463456,32.126683
businessTerror,44.771962,33.926428
businessTerror,44.403089,33.226776
businessTerror,37.70352,48.171161
businessTerror,24.024141,49.84803
businessTerror,24.016476,49.864705
businessTerror,24.031759,49.830358
businessTerror,44.376716,33.271201
businessTerror,85.51936,26.065816
businessTerror,44.270484,33.263872
businessTerror,16.577576,31.196718
businessTerror,81.233333,18.716667
businessTerror,85.317299,23.361831
businessTerror,44.328386,33.277992
businessTerror,44.380392,35.465576
businessTerror,30.44365,50.429741
businessTerror,69.100003,29.142127
businessTerror,41.007495,38.142906
businessTerror,-56.501362,-23.43903
businessTerror,101.356709,6.754266
businessTerror,44.217289,33.512032
businessTerror,125.086816,6.489666
businessTerror,78.146325,11.664364
businessTerror,44.401651,33.423277
businessTerror,44.358056,33.394444
businessTerror,44.554901,33.16715
businessTerror,66.01194,36.662961
businessTerror,91.389342,25.480142
businessTerror,91.389342,25.480142
businessTerror,44.411096,33.387476
businessTerror,44.452595,33.300183
businessTerror,44.488947,33.305081
businessTerror,0,0
businessTerror,86.824526,24.773367
businessTerror,44.410383,33.192554
businessTerror,44.276323,33.341954
businessTerror,70.598911,34.166771
businessTerror,69.937167,33.336122
businessTerror,44.257377,33.205814
businessTerror,44.157787,33.462707
businessTerror,43.493056,34.929167
businessTerror,81.238101,19.455967
businessTerror,44.401651,33.423277
businessTerror,44.375721,39.414482
businessTerror,84.869926,23.325724
businessTerror,44.5078,33.251506
businessTerror,70.331667,36.472222
businessTerror,83.24478,17.696584
businessTerror,83.24478,17.696584
businessTerror,83.24478,17.696584
businessTerror,83.24478,17.696584
businessTerror,43.208449,38.28584
businessTerror,124.249572,7.223095
businessTerror,68.215131,27.563994
businessTerror,44.505496,33.254746
businessTerror,44.34494,33.268315
businessTerror,16.586637,31.203255
businessTerror,35.247517,32.069647
businessTerror,35.836282,34.434935
businessTerror,44.385499,33.215389
businessTerror,44.26214,33.537227
businessTerror,44.44178,33.362392
businessTerror,44.299996,33.27264
businessTerror,67.028685,24.911496
businessTerror,66.959098,30.133181
businessTerror,44.70296,33.376952
businessTerror,44.5078,33.251506
businessTerror,36.36606,33.558338
businessTerror,42.339598,37.464842
businessTerror,62.708172,25.608446
businessTerror,44.253056,33.079167
businessTerror,41.860122,3.933554
businessTerror,45.335481,2.049363
businessTerror,44.385499,33.215389
businessTerror,44.70296,33.376952
businessTerror,44.506622,33.314009
businessTerror,44.34494,33.268315
businessTerror,125.473539,6.933292
businessTerror,125.449516,6.873951
businessTerror,125.414305,6.836642
businessTerror,125.3769,6.815429
businessTerror,44.488947,33.305081
businessTerror,44.410383,33.192554
businessTerror,44.413457,33.54631
businessTerror,87.271781,26.452475
businessTerror,44.391944,33.251389
businessTerror,62.324495,25.195106
businessTerror,44.278691,33.370243
businessTerror,36.699766,34.722774
businessTerror,44.318925,33.354467
businessTerror,123.942946,7.686803
businessTerror,30.523305,50.450011
businessTerror,44.525138,33.390341
businessTerror,43.809004,34.925074
businessTerror,43.809004,34.925074
businessTerror,43.809004,34.925074
businessTerror,67.040079,24.906511
businessTerror,44.401651,33.423277
businessTerror,125.882317,7.427053
businessTerror,13.194633,32.883071
businessTerror,44.35676,33.247211
businessTerror,44.4,33.3
businessTerror,44.4,33.3
businessTerror,44.328386,33.277992
businessTerror,62.323768,25.1337
businessTerror,44.702924,33.376996
businessTerror,44.522576,33.236736
businessTerror,44.456129,33.389601
businessTerror,44.299758,33.299632
businessTerror,-76.185623,5.856681
businessTerror,32.221662,26.066562
businessTerror,44.45743,33.259054
businessTerror,41.228265,34.430272
businessTerror,36.564365,32.707311
businessTerror,44.363851,33.368141
businessTerror,44.276856,33.342207
businessTerror,32.589069,15.515554
businessTerror,44.403701,33.347383
businessTerror,44.404857,33.193642
businessTerror,44.364759,33.546475
businessTerror,72.97788,19.218937
businessTerror,43.673605,34.610512
businessTerror,36.879199,-1.232389
businessTerror,44.526546,33.227506
businessTerror,67.022519,24.92394
businessTerror,67.064023,24.972611
businessTerror,-76.559836,5.264795
businessTerror,70.380204,37.528069
businessTerror,126.085606,7.671049
businessTerror,125.313701,7.913729
businessTerror,70.543467,33.315924
businessTerror,44.427469,33.325559
businessTerror,80.808911,18.803305
businessTerror,90.439937,25.317811
businessTerror,62.626602,25.710597
businessTerror,121.9835,6.416943
businessTerror,90.154096,25.810848
businessTerror,23.72936,37.983917
businessTerror,44.364759,33.546475
businessTerror,44.506777,33.323366
businessTerror,16.572204,31.200459
businessTerror,16.572204,31.200459
businessTerror,62.220733,34.19899
businessTerror,44.564216,33.244024
businessTerror,125.119808,7.106529
businessTerror,101.723701,6.295698
businessTerror,101.719905,6.294826
businessTerror,-2.623525,51.488636
businessTerror,44.391467,33.254255
businessTerror,82.100681,21.035972
businessTerror,81.532828,42.000923
businessTerror,43.503203,35.007987
businessTerror,44.010392,13.574698
businessTerror,44.010392,13.574698
businessTerror,-56.561647,-24.194867
businessTerror,41.228265,34.430272
businessTerror,44.583323,33.101454
businessTerror,13.151388,11.831976
businessTerror,44.255297,33.079024
businessTerror,125.699677,7.184413
businessTerror,123.283313,12.225849
businessTerror,44.429946,33.414906
businessTerror,101.38926,6.828819
businessTerror,44.30049,33.318012
businessTerror,44.422257,33.325623
businessTerror,44.522576,33.236736
businessTerror,44.458169,33.259547
businessTerror,126.067595,8.636616
businessTerror,91.812332,22.347537
businessTerror,-56.558551,-24.193926
businessTerror,-56.558551,-24.193926
businessTerror,42.545126,-0.35716
businessTerror,80.754994,18.781867
businessTerror,41.228265,34.430272
businessTerror,44.716387,33.373963
businessTerror,84.216234,24.127585
businessTerror,44.435193,33.426008
businessTerror,90.495075,25.576157
businessTerror,44.432509,33.411806
businessTerror,44.411678,33.335089
businessTerror,68.991611,33.094624
businessTerror,29.619699,-3.94621
businessTerror,44.421975,33.324432
businessTerror,44.207696,35.388979
businessTerror,44.065921,33.2917
businessTerror,44.356901,33.247236
businessTerror,42.420203,38.652313
businessTerror,44.506622,33.314009
businessTerror,44.391856,33.251407
businessTerror,44.344964,33.268436
businessTerror,44.421784,33.326408
businessTerror,44.410944,33.387524
businessTerror,80.563288,6.077911
businessTerror,43.670458,34.633824
businessTerror,37.646285,49.658578
businessTerror,44.43469,33.223582
businessTerror,44.380184,35.465409
businessTerror,44.416193,33.329488
businessTerror,11.966192,11.746996
businessTerror,16.921525,30.15003
businessTerror,69.207486,34.555349
businessTerror,44.257471,33.206129
businessTerror,68.868066,36.728591
businessTerror,29.366685,-3.381142
businessTerror,44.276324,33.341954
businessTerror,44.583139,33.100298
businessTerror,5.898714,4.867777
businessTerror,-7.279676,55.009698
businessTerror,44.422851,33.324316
businessTerror,16.589121,31.205159
businessTerror,69.098514,34.2148
businessTerror,44.422116,33.324871
businessTerror,14.149982,11.050002
businessTerror,44.223796,33.493936
businessTerror,81.242411,19.723535
businessTerror,101.70105,6.385399
businessTerror,101.684059,6.422269
businessTerror,101.684059,6.422269
businessTerror,44.422244,33.325289
businessTerror,44.422668,33.324867
businessTerror,16.58889,31.205069
businessTerror,34.870903,32.181371
businessTerror,44.460652,33.389934
businessTerror,44.330752,33.333366
businessTerror,68.647247,32.937172
businessTerror,44.253129,33.079035
businessTerror,13.191338,32.887209
businessTerror,44.48659,33.321918
businessTerror,81.061666,19.010024
businessTerror,12.490903,32.794288
businessTerror,44.421602,33.32501
businessTerror,44.271862,33.257828
businessTerror,41.874975,3.923925
businessTerror,16.58889,31.205069
businessTerror,44.677974,33.125733
businessTerror,44.42147,33.325227
businessTerror,69.579749,32.300656
businessTerror,44.215312,33.510975
businessTerror,44.421511,33.325043
businessTerror,101.142357,6.679582
businessTerror,101.131499,6.68078
businessTerror,125.395845,7.216311
businessTerror,125.382279,7.243818
businessTerror,44.278765,33.370218
businessTerror,44.422412,33.324731
