govTerror,longitude,latitude
govTerror,70.785075,34.267438
govTerror,122.701115,7.807529
govTerror,49.1825,11.284722
govTerror,-5.018889,14.138889
govTerror,1.408514,18.438978
govTerror,72.327867,34.766797
govTerror,47.429321,6.773835
govTerror,6.578339,7.561891
govTerror,124.517508,7.165741
govTerror,6.10222,5.77622
govTerror,0,0
govTerror,67.115032,36.700674
govTerror,67.197758,24.902179
govTerror,51.471283,25.303589
govTerror,3.267114,6.449744
govTerror,67.070569,24.832017
govTerror,21.428066,41.997546
govTerror,122.557615,10.727751
govTerror,68.841617,34.359425
govTerror,101.490345,6.864391
govTerror,11.27374,10.91431
govTerror,11.280403,10.910509
govTerror,10.773285,10.822963
govTerror,1.408283,18.439001
govTerror,121.972751,6.419502
govTerror,123.146464,7.747538
govTerror,124.476389,6.867985
govTerror,43.3,33.416667
govTerror,13.090425,32.862522
govTerror,101.449966,6.756299
govTerror,49.043265,14.486733
govTerror,13.192497,32.886483
govTerror,31.335283,29.849805
govTerror,101.51414,6.386993
govTerror,82.129017,18.679474
govTerror,11.268253,6.901447
govTerror,30.019955,11.940378
govTerror,30.019955,11.940378
govTerror,30.019955,11.940378
govTerror,31.303983,12.161509
govTerror,31.302778,12.164722
govTerror,31.591147,4.845406
govTerror,67.066843,24.916712
govTerror,37.096368,36.223024
govTerror,45.345713,2.037437
govTerror,126.05136,7.81999
govTerror,43.343897,33.450349
govTerror,0.501686,15.659415
govTerror,66.981385,30.138984
govTerror,30.527218,50.443231
govTerror,43.3,33.416667
govTerror,101.601758,6.716448
govTerror,80.360288,19.236662
govTerror,45.14945,33.773349
govTerror,44.341667,33.295556
govTerror,44.415818,35.416066
govTerror,101.716166,6.293523
govTerror,23.653224,13.879667
govTerror,43.3,33.416667
govTerror,43.01949,15.305307
govTerror,43.993615,36.22924
govTerror,-0.027987,16.263981
govTerror,124.437203,6.87004
govTerror,45.34496,2.037102
govTerror,68.882719,36.66599
govTerror,6.92269,4.848228
govTerror,34.453593,31.522561
govTerror,43.462072,35.272259
govTerror,13.192497,32.886483
govTerror,69.183186,34.530514
govTerror,13.204254,32.871917
govTerror,48.486364,8.403409
govTerror,-0.028208,16.264136
govTerror,13.404075,52.521038
govTerror,82.036808,18.769297
govTerror,23.03266,13.108602
govTerror,70.484301,34.454826
govTerror,62.150609,32.438021
govTerror,41.855116,3.935639
govTerror,24.285,12.509722
govTerror,29.345833,-1.482222
govTerror,1.247526,19.395022
govTerror,100.985202,6.733057
govTerror,24.883333,12.05
govTerror,69.176298,32.946178
govTerror,68.416667,33.55
