terrorism,longitude,latitude
terrorism,93.906269,24.663717
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,-6.976641,54.414416
terrorism,-6.656108,54.347539
terrorism,-89.199936,13.749885
terrorism,34.453593,31.522561
terrorism,-76.522119,3.420628
terrorism,-89.199161,13.69288
terrorism,37.142588,36.212989
terrorism,124.248033,7.218171
terrorism,-88.90406,13.85077
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,12.494249,41.89052
terrorism,-43.197026,-22.908278
terrorism,-89.199161,13.69288
terrorism,2.352222,48.856614
terrorism,48.207451,30.421488
terrorism,-74.122652,4.636619
terrorism,-2.31322,43.090476
terrorism,-89.199161,13.69288
terrorism,34.453593,31.522561
terrorism,-90.53288,14.624422
terrorism,-90.53288,14.624422
terrorism,35.495479,33.888629
terrorism,-88.882685,14.023538
terrorism,-88.73273,13.755754
terrorism,-89.55972,13.99417
terrorism,-89.199161,13.69288
terrorism,-3.700345,40.416691
terrorism,,
terrorism,-74.122652,4.636619
terrorism,-89.7241667,13.7188889
terrorism,36.188022,34.572925
terrorism,-2.923441,43.256963
terrorism,35.495479,33.888629
terrorism,-74.005941,40.712784
terrorism,-87.632409,41.88415
terrorism,2.352222,48.856614
terrorism,-90.53288,14.624422
terrorism,-89.6811111,13.9866667
terrorism,-1.474841,43.492949
terrorism,-73.553992,45.50867
terrorism,37.142588,36.212989
terrorism,9.188171,45.463681
terrorism,36.568379,40.305142
terrorism,32.856569,39.923459
terrorism,-88.85,13.9833333
terrorism,-2.31164,43.178205
terrorism,-89.147774,13.701964
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,2.352222,48.856614
terrorism,-87.2167,14.0833
terrorism,12.494249,41.89052
terrorism,,
terrorism,-89.199161,13.69288
terrorism,-2.804965,43.209374
terrorism,-90.53288,14.624422
terrorism,9.188171,45.463681
terrorism,29.41423,38.684077
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-74.778319,10.981412
terrorism,-89.199161,13.69288
terrorism,27.137452,38.419657
terrorism,-70.641997,-33.469115
terrorism,-90.786944,14.297778
terrorism,35.498884,33.843435
terrorism,-90.495278,14.568889
terrorism,-90.786944,14.297778
terrorism,2.352222,48.856614
terrorism,-9.150036,38.725299
terrorism,14.251636,40.840097
terrorism,37.142588,36.212989
terrorism,32.856569,39.923459
terrorism,35.216617,31.910291
terrorism,-5.990309,54.992107
terrorism,121.085281,15.543534
terrorism,120.967135,15.485494
terrorism,-8.054524,42.331958
terrorism,,
terrorism,13.331741,52.505803
terrorism,-1.984447,43.320812
terrorism,-63.182042,-17.783219
terrorism,-63.182042,-17.783219
terrorism,-63.182042,-17.783219
terrorism,-2.733236,43.220496
terrorism,,
terrorism,37.142588,36.212989
terrorism,44.4,33.3
terrorism,-43.197026,-22.908278
terrorism,-46.633475,-23.550711
terrorism,32.271566,30.597448
terrorism,-74.005941,40.712784
terrorism,2.352222,48.856614
terrorism,32.68207,39.872842
terrorism,-66.049987,18.399712
terrorism,-66.106654,18.46617
terrorism,-86.02984,13.564251
terrorism,-86.02829742,13.5648543
terrorism,-1.984447,43.320812
terrorism,-2.923441,43.256963
terrorism,-2.923441,43.256963
terrorism,-86.02829742,13.5648543
terrorism,-1.984447,43.320812
terrorism,-1.984447,43.320812
terrorism,-1.984447,43.320812
terrorism,-1.984447,43.320812
terrorism,34.748019,32.013186
terrorism,35.495479,33.888629
terrorism,9.188171,45.463681
terrorism,-91.51438904,14.54582704
terrorism,-74.093032,4.602489
terrorism,-89.116667,13.7
terrorism,-89.199161,13.69288
terrorism,-90.45,14.55
terrorism,-6.267494,53.344104
terrorism,-5.930109,54.597269
terrorism,120.978666,14.596051
terrorism,120.978666,14.596051
terrorism,120.978666,14.596051
terrorism,120.978666,14.596051
terrorism,-6.216761,54.713382
terrorism,-77.5288,-9.529924
terrorism,-75.688882,-11.419301
terrorism,-43.197026,-22.908278
terrorism,-1.789272,43.338233
terrorism,-6.656108,54.347539
terrorism,-74.973207,-12.787148
terrorism,-76.73399,-12.517373
terrorism,-76.73399,-12.517373
terrorism,-74.223564,-13.163874
terrorism,-89.172778,13.7241667
terrorism,-90.53288,14.624422
terrorism,-90.53288,14.624422
terrorism,-5.661926,43.545261
terrorism,-2.223667,43.07563
terrorism,120.978666,14.596051
terrorism,120.978666,14.596051
terrorism,120.978666,14.596051
terrorism,-1.644184,42.817988
terrorism,-89.1897222,13.9572222
terrorism,-57.63561,-25.282773
terrorism,,
terrorism,-73.950146,6.313712
terrorism,-2.671635,42.846718
terrorism,34.808674,32.073018
terrorism,-8.610243,41.149968
terrorism,-76.8,18
terrorism,-76.8,18
terrorism,-89.199161,13.69288
terrorism,-89.199161,13.69288
terrorism,-2.415702,43.215187
terrorism,35.495479,33.888629
terrorism,-88.8,13.55
terrorism,-88.490093,13.561665
terrorism,-88.183333,13.466667
terrorism,27.452877,-26.32584
terrorism,-1.984447,43.320812
terrorism,34.479741,31.529396
terrorism,-70.641997,-33.469115
terrorism,-3.031509,43.3282
terrorism,-61.5331,16.2411
terrorism,,
terrorism,11.358008,46.496714
terrorism,-74.90777,4.86317
terrorism,-89.199161,13.69288
